valid,0.006733333333333369
unique@1000,0.5198019801980198
unique@10000,0.5198019801980198
FCD/Test,61.39621778892352
SNN/Test,0.6975271734270719
Frag/Test,0.7175922260921792
Scaf/Test,0.026021779192950456
FCD/TestSF,62.67993940249101
SNN/TestSF,0.2307345212096035
Frag/TestSF,0.42367175229485166
Scaf/TestSF,0.0
IntDiv,0.7401178713090724
IntDiv2,0.6682029876297899
Filters,0.0891089108910891
logP,4.160227202404815
SA,1.0106495111503844
QED,0.18611961354964537
weight,251.83678640757313
Novelty,0.9047619047619048
