valid,0.987
unique@1000,0.9979736575481256
unique@10000,0.9979736575481256
FCD/Test,1.323610068357084
SNN/Test,0.9662385213338858
Frag/Test,0.9985875486559389
Scaf/Test,0.7672312951840238
FCD/TestSF,26.27062589375315
SNN/TestSF,0.4022917605959173
Frag/TestSF,0.8013541663700006
Scaf/TestSF,0.0005371722012553759
IntDiv,0.8435550138479073
IntDiv2,0.8292196598913036
Filters,0.7021276595744681
logP,0.04913777493833057
SA,0.019827612716973402
QED,0.004292702065687779
weight,6.5205654403685145
Novelty,0.35939086294416245
